Name,Year,Draft Team,Pick,Team,Position,Height,Wingspan,Weight,Draft Age,Birthdate,Nation,G,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,BLK,STL,TO,PF,PTS,TS%,eFG%,3PAr,FTAr,USG%,AST/USG,AST/TO,PER,OWS/40,DWS/40,WS/40,OBPM,DBPM,BPM
Mike Taylor,2008,LAC,55,Idaho Stampede (G League),PG,74.0,79.25,166,22.4,"Jan 21, 1986",USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha Kaun,2008,CLE,56,Kansas,C,82.75,88.0,247,23.11,"May 8, 1985",Russia,40.0,17.7,5.6,9.0,0.619,0.0,0.0,0.0,3.4,6.2,0.541,7.8,0.6,2.5,0.9,1.6,4.9,14.5,0.607,0.619,0.0,0.693,,,0.38,,,,,,,
James Gist,2008,SA,57,Maryland,PF,80.5,88.0,220,21.64,"Oct 26, 1986",USA,33.0,32.0,6.6,13.3,0.496,0.8,2.4,0.31,3.9,5.3,0.737,8.9,1.5,2.6,1.4,3.1,3.4,17.9,0.564,0.524,0.182,0.399,25.1,0.36,0.5,0.0,0.091,0.091,0.186,,,
Joe Crawford,2008,LAL,58,Kentucky,SG,76.0,77.75,213,22.0,"Jun 17, 1986",USA,30.0,33.6,6.7,14.3,0.469,2.2,6.2,0.364,3.5,4.6,0.762,3.9,2.3,0.2,0.6,3.0,2.9,19.2,0.581,0.547,0.431,0.324,28.9,0.55,0.77,0.0,0.123,0.024,0.147,,,
Deron Washington,2008,DET,59,Virginia Tech,SF,78.25,81.0,199,22.51,"Dec 12, 1985",USA,35.0,33.1,4.6,11.0,0.416,0.6,2.1,0.269,4.6,6.8,0.671,7.1,2.5,0.7,1.1,2.3,3.2,14.3,0.502,0.442,0.19,0.62,22.8,0.62,1.08,0.0,0.031,0.09,0.124,,,
Semih Erden,2008,BOS,60,Fenerbahce (Turkey),C,83.0,,240,21.88,"Jul 28, 1986",Turkey,15.0,19.3,4.6,9.2,0.5,0.0,0.0,0.0,3.4,5.0,0.675,7.9,1.1,1.6,1.2,2.9,5.8,12.5,0.543,0.5,0.0,0.541,,,0.39,,,,,,,
Blake Griffin,2009,LAC,1,Oklahoma,PF,82.0,83.25,248,20.25,"Mar 16, 1989",USA,35.0,33.3,9.3,14.2,0.654,0.1,0.2,0.375,5.9,10.0,0.59,15.6,2.5,1.3,1.2,3.6,2.8,24.5,0.648,0.657,0.017,0.706,30.8,0.53,0.69,0.0,0.209,0.12,0.333,,,
Hasheem Thabeet,2009,MEM,2,UConn,C,86.5,90.25,267,22.33,"Feb 16, 1987",Tanzania,36.0,31.8,5.6,8.7,0.64,0.0,0.0,0.0,4.2,6.7,0.627,12.2,0.5,4.8,0.7,2.1,2.8,15.4,0.646,0.64,0.0,0.763,19.0,0.15,0.25,0.0,0.133,0.196,0.328,,,
James Harden,2009,OKC,3,Arizona State,SG,77.25,82.75,222,19.81,"Aug 26, 1989",USA,35.0,35.8,6.3,13.0,0.489,1.7,4.7,0.356,5.9,7.8,0.756,5.6,4.2,0.3,1.7,3.4,2.8,20.2,0.607,0.553,0.361,0.597,32.5,0.9,1.25,0.0,0.163,0.064,0.23,,,
Tyreke Evans,2009,SAC,4,Memphis,SG/PG,77.25,83.25,221,19.74,"Sep 19, 1989",USA,37.0,29.0,7.7,17.0,0.455,1.1,4.2,0.274,4.6,6.5,0.711,6.6,4.8,1.0,2.6,4.5,3.0,21.2,0.529,0.489,0.246,0.384,33.1,0.91,1.08,0.0,0.09,0.179,0.269,,,
Ricky Rubio,2009,MIN,5,DKV Joventut (Spain),PG,76.0,,180,18.65,"Oct 21, 1990",Spain,27.0,21.0,4.1,10.3,0.395,1.5,3.6,0.429,5.1,6.4,0.792,4.5,9.5,0.1,3.6,5.0,3.8,14.8,0.552,0.469,0.346,0.623,,,1.91,,,,,,,
Jonny Flynn,2009,MIN,6,Syracuse,PG,72.75,76.0,196,20.36,"Feb 6, 1989",USA,38.0,37.3,5.6,12.1,0.46,1.1,3.6,0.317,4.6,5.8,0.786,2.6,6.4,0.2,1.4,3.3,1.4,16.8,0.567,0.507,0.298,0.481,,,1.97,,,,,,,
Stephen Curry,2009,GS,7,Davidson,PG,75.25,75.5,181,21.26,"Mar 14, 1988",USA,34.0,33.7,9.8,21.6,0.454,4.1,10.6,0.387,6.9,7.9,0.876,4.7,5.9,0.3,2.7,4.0,2.5,30.6,0.604,0.549,0.489,0.365,38.3,1.05,1.5,0.0,0.224,0.126,0.346,,,
Jordan Hill,2009,NY,8,Arizona,PF,82.25,85.5,232,21.89,"Jul 27, 1987",USA,34.0,35.7,7.5,13.9,0.537,0.0,0.0,0.0,3.5,5.3,0.654,11.1,1.5,1.7,0.9,2.9,3.0,18.4,0.56,0.537,0.0,0.382,28.2,0.34,0.52,0.0,0.099,0.069,0.168,,,
DeMar DeRozan,2009,TOR,9,USC,SG/SF,78.5,81.0,211,19.86,"Aug 7, 1989",USA,35.0,33.4,5.9,11.3,0.523,0.2,1.1,0.167,2.9,4.5,0.646,6.2,1.6,0.4,1.0,2.3,2.3,14.9,0.555,0.531,0.098,0.401,,,0.7,,,,,,,
Brandon Jennings,2009,MIL,10,Lottomatica Roma (Italy),PG,73.0,,169,19.73,"Sep 23, 1989",USA,43.0,18.0,4.7,12.3,0.381,1.1,4.6,0.232,2.0,2.9,0.71,3.2,4.0,0.1,3.5,2.7,4.2,12.5,0.457,0.425,0.374,0.234,,,1.47,,,,,,,
Terrence Williams,2009,BKN,11,Louisville,SG/SF,78.25,81.0,213,21.97,"Jun 28, 1987",USA,37.0,34.2,4.8,11.1,0.431,1.6,4.2,0.385,1.9,3.3,0.581,9.0,5.3,0.8,2.4,2.4,1.8,13.2,0.517,0.504,0.378,0.298,,,2.15,,,,,,,
Gerald Henderson,2009,CHA,12,Duke,SG,77.0,82.25,215,21.52,"Dec 9, 1987",USA,37.0,29.7,7.0,15.5,0.45,1.3,4.0,0.336,4.7,6.2,0.761,6.0,3.0,0.9,1.5,2.6,2.1,20.0,0.542,0.494,0.258,0.397,28.3,0.64,1.14,0.0,0.091,0.109,0.2,,,
Tyler Hansbrough,2009,IND,13,North Carolina,PF,81.5,83.5,234,23.62,"Nov 3, 1985",USA,34.0,30.3,7.8,15.2,0.514,0.3,0.8,0.391,8.7,10.4,0.841,9.7,1.2,0.4,1.5,2.2,2.7,24.6,0.613,0.524,0.053,0.682,27.4,0.21,0.54,0.0,0.163,0.097,0.26,,,
Earl Clark,2009,PHX,14,Louisville,PF/SF,82.25,86.5,228,21.41,"Jan 17, 1988",USA,37.0,34.3,5.7,12.5,0.457,0.9,2.7,0.326,2.6,3.9,0.647,9.1,3.4,1.4,1.1,3.4,2.0,14.9,0.517,0.492,0.215,0.314,,,1.0,,,,,,,
Austin Daye,2009,DET,15,Gonzaga,SF/PF,82.75,86.75,192,21.03,"Jun 5, 1988",USA,34.0,26.3,6.4,13.4,0.477,1.4,3.4,0.429,3.1,4.4,0.706,9.3,1.5,2.8,1.0,2.9,3.9,17.3,0.56,0.532,0.252,0.327,26.0,0.3,0.51,0.0,0.094,0.161,0.255,,,
James Johnson,2009,CHI,16,Wake Forest,SF/PF,79.75,84.75,257,22.32,"Feb 20, 1987",USA,31.0,30.5,7.1,13.1,0.542,0.8,2.6,0.319,2.6,3.8,0.697,10.0,2.4,1.8,1.7,2.8,3.5,17.7,0.593,0.574,0.2,0.287,,,0.84,,,,,,,
Jrue Holiday,2009,PHI,17,UCLA,PG/SG,76.25,79.0,199,19.01,"Jun 12, 1990",USA,35.0,27.1,4.2,9.4,0.45,1.0,3.3,0.307,1.7,2.3,0.726,5.0,4.9,0.7,2.1,2.8,2.8,11.2,0.532,0.504,0.353,0.249,19.3,1.23,1.72,0.0,0.051,0.088,0.139,,,
Ty Lawson,2009,DEN,18,North Carolina,PG,72.5,72.75,197,21.62,"Nov 3, 1987",USA,35.0,29.9,6.3,11.7,0.532,1.8,3.7,0.472,5.7,7.1,0.798,3.6,7.9,0.2,2.6,2.3,2.0,20.0,0.659,0.607,0.316,0.608,21.4,1.66,3.48,0.0,0.168,0.095,0.263,,,
Jeff Teague,2009,ATL,19,Wake Forest,PG,73.5,79.5,175,21.02,"Jun 10, 1988",USA,31.0,32.0,6.5,13.5,0.485,1.6,3.7,0.441,6.5,8.0,0.817,3.7,4.0,0.7,2.1,3.8,2.5,21.2,0.615,0.546,0.275,0.59,,,1.06,,,,,,,
Eric Maynor,2009,UTA,20,VCU,PG,75.25,74.5,164,22.01,"Jun 11, 1987",USA,34.0,35.5,7.4,16.0,0.463,2.0,5.5,0.361,5.9,7.3,0.815,3.6,6.3,0.2,1.7,3.0,2.4,22.7,0.583,0.524,0.341,0.453,,,2.08,,,,,,,
Darren Collison,2009,NO,21,UCLA,PG,73.5,75.0,166,21.81,"Aug 23, 1987",USA,35.0,31.5,5.7,11.2,0.509,1.3,3.4,0.394,3.7,4.1,0.897,2.7,5.4,0.2,1.9,2.8,1.7,16.4,0.624,0.568,0.302,0.366,23.1,1.23,1.91,0.0,0.138,0.058,0.196,,,
Victor Claver,2009,POR,22,Pamesa Valencia (Spain),SF,81.0,,224,20.79,"Aug 30, 1988",Spain,20.0,21.3,4.2,8.1,0.521,1.4,3.7,0.386,2.1,3.2,0.658,6.9,1.4,0.9,1.5,2.0,3.3,12.0,0.623,0.609,0.458,0.396,,,0.67,,,,,,,
Omri Casspi,2009,SAC,23,Maccabi Tel Aviv (Israel),SF,81.25,81.25,211,20.98,"Jun 22, 1988",Israel,16.0,17.5,6.7,13.2,0.505,1.2,2.6,0.45,3.5,4.5,0.771,6.4,0.9,0.4,1.7,2.3,4.9,18.0,0.585,0.549,0.194,0.34,,,0.39,,,,,,,
Byron Mullens,2009,OKC,24,Ohio State,C,85.25,85.5,258,20.33,"Feb 14, 1989",USA,33.0,20.3,6.4,10.1,0.638,0.0,0.1,0.0,2.8,5.0,0.559,8.3,0.5,2.0,0.9,2.7,3.6,15.7,0.629,0.638,0.005,0.495,24.0,0.14,0.18,0.0,0.137,0.06,0.197,,,
Rodrigue Beaubois,2009,DAL,25,Cholet (France),PG,74.25,81.75,182,21.31,"Feb 24, 1988",France,29.0,22.3,6.4,13.5,0.473,2.2,6.8,0.317,1.2,2.0,0.583,4.1,3.8,0.7,1.8,3.1,4.6,16.1,0.557,0.553,0.506,0.148,,,1.21,,,,,,,
Taj Gibson,2009,CHI,26,USC,PF,81.75,88.0,214,23.98,"Jun 24, 1985",USA,35.0,33.7,5.8,9.6,0.601,0.0,0.0,0.0,3.7,5.6,0.659,9.6,1.3,3.1,1.0,2.2,3.1,15.3,0.621,0.601,0.0,0.576,,,0.61,,,,,,,
DeMarre Carroll,2009,MEM,27,Missouri,SF/PF,79.75,82.0,207,22.89,"Jul 27, 1986",USA,38.0,28.0,8.3,14.9,0.558,0.5,1.5,0.364,4.1,6.5,0.634,9.2,2.8,0.8,2.0,1.9,2.8,21.3,0.591,0.576,0.1,0.433,25.9,0.59,1.46,0.0,0.135,0.135,0.271,,,
Wayne Ellington,2009,MIN,28,North Carolina,SG,77.25,78.5,202,21.55,"Nov 29, 1987",USA,38.0,30.4,6.7,13.9,0.483,2.6,6.4,0.417,2.7,3.5,0.777,5.8,3.1,0.2,1.1,1.9,1.8,18.8,0.604,0.579,0.458,0.252,21.5,0.67,1.63,0.0,0.121,0.069,0.19,,,
Toney Douglas,2009,NY,29,Florida State,PG,74.0,78.0,183,23.25,"Mar 16, 1986",USA,35.0,36.5,6.7,15.1,0.446,2.4,6.2,0.385,5.3,6.5,0.81,3.9,2.9,0.4,1.8,2.4,2.1,21.1,0.581,0.525,0.412,0.433,29.0,0.7,1.17,0.0,0.144,0.053,0.197,,,
Christian Eyenga,2009,CLE,30,CB Prat (Spain),SF,79.0,,210,19.98,"Jun 22, 1989",DR Congo,4.0,4.5,2.0,8.0,0.25,0.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,2.0,0.0,0.0,4.0,6.0,0.303,0.25,0.0,0.5,,,0.0,,,,,,,
Jeff Ayres,2009,POR,31,Arizona State,PF,82.0,85.0,240,22.13,"Apr 29, 1987",USA,35.0,32.5,6.3,9.5,0.66,0.0,0.0,0.0,3.6,4.6,0.779,9.1,1.0,0.9,0.5,1.4,3.0,16.1,0.69,0.66,0.003,0.483,21.1,0.32,0.72,0.0,0.179,0.081,0.256,,,
Jermaine Taylor,2009,HOU,32,UCF,SG,76.75,80.75,207,22.52,"Dec 8, 1986",USA,31.0,31.9,10.6,22.1,0.48,3.3,8.9,0.376,5.0,6.2,0.812,5.9,2.1,0.9,1.4,3.2,2.0,29.6,0.591,0.556,0.404,0.281,39.3,0.45,0.67,0.0,0.198,0.057,0.251,,,
Dante Cunningham,2009,POR,33,Villanova,PF,80.25,83.0,227,22.15,"Apr 22, 1987",USA,38.0,31.6,7.3,14.0,0.525,0.0,0.1,0.0,3.7,5.3,0.697,8.5,1.4,1.4,1.4,2.5,3.1,18.4,0.557,0.525,0.004,0.383,,,0.57,,,,,,,
Sergio Llull,2009,HOU,34,Real Madrid (Spain),PG,75.0,,180,21.58,"Nov 15, 1987",Spain,51.0,21.0,4.4,10.0,0.443,1.9,5.0,0.376,3.0,3.5,0.838,3.0,4.3,0.3,1.7,1.8,4.1,13.7,0.587,0.537,0.503,0.355,,,2.48,,,,,,,
DaJuan Summers,2009,DET,35,Georgetown,SF/PF,80.5,84.75,243,21.39,"Jan 24, 1988",USA,31.0,29.4,5.4,11.4,0.474,2.1,5.3,0.385,3.8,5.4,0.713,5.1,1.5,0.8,1.4,3.2,3.2,16.7,0.598,0.564,0.467,0.471,25.7,0.38,0.48,0.0,0.123,0.053,0.176,,,
Sam Young,2009,MEM,36,Pittsburgh,SF,78.75,82.75,223,24.04,"Jun 1, 1985",USA,36.0,31.8,8.2,16.3,0.502,1.7,4.6,0.372,3.6,4.8,0.74,7.1,1.3,0.9,1.1,2.8,1.9,21.7,0.582,0.554,0.279,0.296,29.0,0.24,0.45,0.0,0.136,0.108,0.241,,,
DeJuan Blair,2009,SA,37,Pittsburgh,PF,78.5,86.0,277,20.15,"Apr 22, 1989",USA,35.0,27.3,8.5,14.4,0.593,0.0,0.0,0.0,3.7,6.1,0.605,16.3,1.6,1.3,2.0,1.7,3.6,20.7,0.601,0.593,0.0,0.425,25.7,0.35,0.95,0.0,0.147,0.201,0.343,,,
Jon Brockman,2009,SAC,38,Washington,PF,79.0,,255,22.24,"Mar 20, 1987",USA,34.0,30.5,6.6,12.5,0.526,0.0,0.0,0.0,4.4,6.8,0.64,13.6,1.4,0.1,1.1,2.3,3.5,17.6,0.557,0.526,0.003,0.546,,,0.6,,,,,,,
Jonas Jerebko,2009,DET,39,Angelico Biella (Italy),PF/SF,81.0,,220,22.29,"Mar 2, 1987",Sweden,30.0,25.0,5.2,10.0,0.522,1.0,2.8,0.345,1.5,2.0,0.78,7.9,1.0,0.5,1.8,2.0,4.0,12.9,0.591,0.569,0.278,0.196,,,0.51,,,,,,,
Derrick Brown,2009,CHA,40,Xavier,SF/PF,80.5,86.5,225,21.77,"Sep 8, 1987",USA,35.0,29.5,5.9,11.7,0.504,1.4,3.1,0.433,3.5,4.7,0.741,7.4,2.4,1.0,0.9,2.1,3.0,16.7,0.597,0.562,0.267,0.401,,,1.11,,,,,,,
Jodie Meeks,2009,MIL,41,Kentucky,SG,76.0,76.5,211,21.82,"Aug 21, 1987",USA,36.0,34.4,7.7,16.5,0.463,3.4,8.4,0.406,6.1,6.8,0.902,3.6,1.8,0.1,1.4,2.8,2.0,24.9,0.629,0.566,0.507,0.412,30.9,0.38,0.66,0.0,0.204,0.036,0.239,,,
Patrick Beverley,2009,MIA,42,Arkansas,PG,73.0,,180,20.93,"Jul 12, 1988",USA,35.0,33.8,4.1,10.0,0.412,2.0,5.2,0.378,2.6,4.0,0.644,7.0,2.6,0.5,1.3,2.1,2.6,12.8,0.537,0.511,0.521,0.4,19.0,0.68,1.22,0.0,0.051,0.071,0.122,,,
Marcus Thornton,2009,NO,43,LSU,SG,75.75,77.0,194,22.03,"Jun 5, 1987",USA,35.0,31.9,8.3,17.5,0.472,2.5,6.5,0.388,4.8,6.5,0.745,6.2,2.4,0.4,1.8,2.1,2.3,23.8,0.58,0.544,0.371,0.369,30.9,0.5,1.17,0.0,0.151,0.086,0.237,,,
Chase Budinger,2009,HOU,44,Arizona,SF,79.0,79.0,206,21.07,"May 22, 1988",USA,35.0,37.6,6.0,12.5,0.48,1.8,4.6,0.399,3.4,4.3,0.801,5.9,3.2,0.4,1.4,2.3,1.8,17.2,0.594,0.554,0.368,0.342,24.6,0.77,1.39,0.0,0.118,0.039,0.158,,,
Nick Calathes,2009,DAL,45,Florida,PG,78.0,,194,20.35,"Feb 7, 1989",USA,36.0,33.3,6.2,12.8,0.482,2.2,5.6,0.39,4.1,5.7,0.707,5.8,6.9,0.2,2.0,3.6,2.1,18.5,0.599,0.568,0.44,0.449,,,1.94,,,,,,,
Danny Green,2009,CLE,46,North Carolina,SF,78.5,82.0,208,21.98,"Jun 22, 1987",USA,38.0,27.4,6.4,13.5,0.471,2.7,6.4,0.418,1.8,2.1,0.852,6.2,3.6,1.8,2.3,2.2,2.9,17.2,0.592,0.569,0.471,0.156,20.5,0.8,1.65,0.0,0.104,0.138,0.242,,,
Henk Norel,2009,MIN,47,DKV Joventut (Spain),PF,83.0,,230,21.75,"Sep 17, 1987",Netherlands,30.0,13.3,5.7,11.0,0.516,0.1,0.5,0.167,3.1,4.4,0.694,7.6,1.3,1.1,0.5,2.4,6.3,14.6,0.554,0.52,0.049,0.402,,,0.54,,,,,,,
Taylor Griffin,2009,PHX,48,Oklahoma,SF/PF,79.0,,238,23.16,"Apr 18, 1986",USA,36.0,30.0,4.2,7.8,0.536,0.2,0.5,0.357,3.0,4.3,0.7,7.0,1.6,1.2,1.6,2.1,3.3,11.5,0.587,0.547,0.06,0.558,16.2,0.49,0.77,0.0,0.074,0.085,0.159,,,
Sergiy Gladyr,2009,ATL,49,MBC Mykolaiv (Ukraine),SG,77.0,,190,20.66,"Oct 17, 1988",Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goran Suton,2009,UTA,50,Michigan State,C,82.0,,245,23.85,"Aug 11, 1985",Bosnia and Herzegovina,32.0,26.7,5.2,9.9,0.521,0.9,2.0,0.438,2.8,3.3,0.848,11.3,2.1,0.7,1.5,2.4,3.4,14.1,0.611,0.566,0.203,0.335,19.1,0.63,0.86,0.0,0.112,0.136,0.248,,,
Jack McClinton,2009,SA,51,Miami,SG/PG,72.75,74.5,185,24.41,"Jan 19, 1985",USA,32.0,32.2,7.0,15.6,0.449,3.5,7.8,0.453,4.1,4.6,0.885,3.5,3.2,0.0,0.8,2.9,1.8,21.6,0.608,0.563,0.501,0.294,28.3,0.74,1.08,0.0,0.163,0.05,0.214,,,
A.J. Price,2009,IND,52,UConn,PG,74.0,75.75,193,22.69,"Oct 7, 1986",USA,35.0,31.8,5.5,13.5,0.408,2.7,6.6,0.402,3.0,4.2,0.721,3.9,5.3,0.0,0.8,3.0,1.4,16.7,0.538,0.506,0.489,0.309,25.1,1.12,1.74,0.0,0.076,0.068,0.144,,,
Nando de Colo,2009,SA,53,Cholet (France),PG,77.0,,190,21.98,"Jun 23, 1987",France,27.0,28.2,6.3,14.3,0.444,2.1,5.9,0.352,4.0,4.5,0.875,4.5,4.2,0.1,1.3,3.1,3.5,18.7,0.57,0.517,0.414,0.318,,,1.35,,,,,,,
Robert Vaden,2009,OKC,54,UAB,SG,77.0,,205,24.29,"Mar 3, 1985",USA,34.0,36.5,6.0,15.2,0.397,3.3,9.4,0.346,2.1,2.9,0.74,4.9,2.0,0.6,1.0,2.4,1.8,17.4,0.527,0.504,0.621,0.192,27.5,0.43,0.83,0.0,0.068,0.077,0.145,,,
Patty Mills,2009,POR,55,Saint Mary's,PG,72.5,74.0,175,20.85,"Aug 11, 1988",Australia,26.0,33.3,6.8,16.8,0.402,2.8,8.2,0.338,3.5,4.1,0.859,2.6,4.2,0.2,2.4,3.1,1.8,19.8,0.529,0.485,0.489,0.244,30.0,0.86,1.35,0.0,0.083,0.088,0.166,,,
Ahmad Nivins,2009,DAL,56,Saint Joseph's,PF,81.0,,242,22.35,"Feb 10, 1987",USA,32.0,39.3,5.9,9.6,0.612,0.0,0.0,0.0,5.8,7.4,0.787,10.8,0.9,1.6,0.7,2.5,2.0,17.5,0.67,0.612,0.003,0.77,22.8,0.27,0.37,0.0,0.175,0.092,0.267,,,
Emir Preldžić,2009,CLE,57,Fenerbahce (Turkey),PF,81.0,,220,21.78,"Sep 6, 1987",Turkey,16.0,22.6,3.8,10.5,0.358,1.2,4.9,0.245,2.9,3.6,0.806,6.0,4.0,0.4,1.8,3.4,4.3,11.6,0.475,0.415,0.462,0.34,,,1.18,,,,,,,
Lester Hudson,2009,BOS,58,UT Martin,PG,75.0,,190,24.86,"Aug 7, 1984",USA,32.0,36.0,9.8,21.8,0.449,3.3,9.3,0.355,4.6,5.2,0.881,7.9,4.2,0.6,2.3,3.3,2.7,27.5,0.566,0.525,0.429,0.241,36.4,0.76,1.27,0.0,0.149,0.114,0.264,,,
Chinemelu Elonu,2009,LAL,59,Texas A&M,PF,82.0,,235,22.27,"Mar 11, 1987",Nigeria,34.0,23.8,5.7,8.6,0.665,0.0,0.0,0.0,3.4,5.4,0.628,11.1,0.4,2.4,0.4,2.8,4.2,14.8,0.664,0.665,0.0,0.624,,,0.16,,,,,,,
Robert Dozier,2009,MIA,60,Memphis,SF/PF,81.0,,220,23.61,"Nov 6, 1985",USA,37.0,30.2,5.3,10.3,0.519,0.7,1.8,0.375,4.0,5.5,0.721,8.9,1.7,2.0,1.5,2.4,3.3,15.4,0.594,0.552,0.175,0.538,20.7,0.45,0.72,0.0,0.111,0.19,0.301,,,
John Wall,2010,WAS,1,Kentucky,PG,76.0,81.25,196,19.78,"Sep 6, 1990",USA,37.0,34.8,5.6,12.2,0.461,1.0,3.2,0.325,4.9,6.5,0.754,4.4,6.7,0.5,1.8,4.2,2.0,17.2,0.562,0.503,0.26,0.53,25.7,1.35,1.62,0.0,0.115,0.081,0.196,,,
Evan Turner,2010,PHI,2,Ohio State,SG,79.0,80.0,214,21.64,"Oct 27, 1988",USA,31.0,35.7,7.7,14.8,0.519,0.6,1.8,0.364,4.5,5.9,0.754,9.2,6.0,0.9,1.8,4.4,2.8,20.5,0.581,0.54,0.12,0.4,33.1,1.13,1.36,0.0,0.144,0.101,0.245,,,
Derrick Favors,2010,BKN,3,Georgia Tech,PF/C,82.25,88.0,245,18.92,"Jul 15, 1991",USA,36.0,27.5,6.5,10.7,0.611,0.0,0.0,0.0,3.3,5.2,0.629,11.0,1.3,2.7,1.2,3.3,3.4,16.3,0.621,0.611,0.003,0.488,21.8,0.36,0.41,0.0,0.093,0.101,0.194,,,
Wesley Johnson,2010,MIN,4,Syracuse,SF,79.25,85.0,206,22.93,"Jul 11, 1987",USA,35.0,35.0,6.1,12.1,0.502,1.5,3.6,0.415,3.3,4.3,0.772,8.8,2.3,1.9,1.7,2.4,2.1,17.0,0.6,0.564,0.299,0.352,22.1,0.5,0.96,0.0,0.121,0.095,0.216,,,
DeMarcus Cousins,2010,SAC,5,Kentucky,C,82.75,89.75,292,19.84,"Aug 13, 1990",USA,38.0,23.5,8.3,14.9,0.558,0.0,0.2,0.167,6.5,10.8,0.604,15.1,1.5,2.7,1.5,3.1,4.9,23.2,0.579,0.56,0.016,0.726,30.5,0.3,0.49,0.0,0.17,0.121,0.291,,,
Ekpe Udoh,2010,GS,6,Baylor,C,81.75,88.5,237,23.07,"May 20, 1987",USA,36.0,35.1,5.4,11.1,0.49,0.2,0.7,0.269,3.2,4.6,0.685,10.0,2.8,3.8,0.8,2.5,2.5,14.2,0.535,0.499,0.067,0.415,22.1,0.65,1.11,0.0,0.108,0.082,0.193,,,
Greg Monroe,2010,DET,7,Georgetown,PF/C,83.0,86.25,247,20.03,"Jun 4, 1990",USA,34.0,34.2,6.2,11.9,0.525,0.2,0.8,0.259,4.3,6.5,0.66,10.1,4.0,1.6,1.3,3.5,2.7,17.0,0.567,0.534,0.07,0.543,26.7,0.84,1.14,0.0,0.11,0.079,0.189,,,
Al-Farouq Aminu,2010,LAC,8,Wake Forest,SF,80.5,87.25,216,19.73,"Sep 21, 1990",USA,31.0,31.3,6.2,13.9,0.447,0.7,2.4,0.273,5.2,7.4,0.698,12.3,1.5,1.6,1.6,3.7,3.4,18.2,0.524,0.471,0.176,0.532,27.5,0.33,0.41,0.0,0.082,0.091,0.177,,,
Gordon Hayward,2010,UTA,9,Butler,SF,80.0,79.75,211,20.23,"Mar 23, 1990",USA,37.0,33.5,5.0,10.8,0.464,1.4,4.6,0.294,5.2,6.3,0.829,8.9,1.8,0.9,1.2,2.5,2.3,16.6,0.601,0.527,0.429,0.579,24.7,0.49,0.73,0.0,0.129,0.097,0.223,,,
Paul George,2010,IND,10,Fresno State,SF,80.75,83.25,214,20.12,"May 2, 1990",USA,29.0,33.2,5.8,13.6,0.424,2.2,6.2,0.353,4.5,4.9,0.909,7.9,3.3,0.9,2.4,3.5,3.1,18.2,0.572,0.506,0.46,0.364,27.9,0.8,0.94,0.0,0.096,0.075,0.175,,,
Cole Aldrich,2010,OKC,11,Kansas,C,83.25,88.75,236,21.62,"Oct 31, 1988",USA,36.0,26.8,5.6,9.9,0.562,0.0,0.0,0.0,4.0,5.9,0.679,13.2,1.2,4.7,1.0,2.1,3.4,15.2,0.596,0.562,0.0,0.6,19.9,0.29,0.55,0.0,0.125,0.12,0.245,,,
Xavier Henry,2010,MEM,12,Kansas,SG,78.5,83.25,210,19.25,"Mar 15, 1991",USA,36.0,27.5,5.9,12.9,0.458,2.5,6.0,0.418,3.3,4.2,0.783,5.7,1.9,0.7,2.0,2.5,2.4,17.6,0.591,0.555,0.466,0.325,23.4,0.42,0.77,0.0,0.113,0.085,0.198,,,
Ed Davis,2010,TOR,13,North Carolina,PF,81.75,84.0,227,21.03,"Jun 5, 1989",USA,23.0,27.9,6.2,10.8,0.578,0.0,0.0,0.0,4.9,7.4,0.659,12.4,1.2,3.6,0.6,2.6,2.4,17.4,0.607,0.578,0.0,0.688,21.5,0.32,0.48,0.0,0.112,0.081,0.193,,,
Patrick Patterson,2010,HOU,14,Kentucky,PF,81.25,85.25,240,21.26,"Mar 14, 1989",USA,38.0,33.0,6.2,10.7,0.575,0.7,2.0,0.348,2.6,3.7,0.692,8.1,1.0,1.5,0.8,1.2,1.7,15.6,0.624,0.607,0.184,0.348,18.0,0.31,0.88,0.0,0.147,0.076,0.223,,,
Larry Sanders,2010,MIL,15,VCU,C,82.5,89.75,222,21.57,"Nov 21, 1988",USA,35.0,26.9,7.5,14.0,0.534,0.2,0.6,0.25,4.1,6.4,0.641,12.2,1.3,3.4,1.0,2.2,3.9,19.2,0.563,0.54,0.044,0.455,26.7,0.29,0.59,0.0,0.136,0.094,0.23,,,
Luke Babbitt,2010,POR,16,Nevada,SF,80.75,83.25,218,20.99,"Jun 20, 1989",USA,34.0,37.1,7.2,14.3,0.5,1.2,2.9,0.416,5.7,6.2,0.917,8.7,2.1,0.8,1.0,2.3,2.5,21.2,0.614,0.542,0.201,0.432,26.8,0.41,0.89,0.0,0.171,0.041,0.213,,,
Kevin Seraphin,2010,WAS,17,Cholet Basket (France),PF,81.0,,260,20.52,"Dec 7, 1989",France,35.0,16.4,6.0,11.5,0.525,0.0,0.0,0.0,1.8,3.1,0.571,10.0,1.1,2.0,0.4,2.4,4.4,13.8,0.533,0.525,0.0,0.268,,,0.46,,,,,,,
